Location
Basel
Pepa -
Pindi-Khut -
Fairbanks
Sloan 10
Konduz Afghanistan
Mazâr-e Charif Afghanistan
Kholm Afghanistan
Komaki Aichi
Wainwright Alaska
Tanana Alaska
Shemya Alaska
Nome Alaska
Tchamulate Angola
Roque Perez Argentina
Perth Australia
Baku Azerbaijan
New Providence Island Bahamas
Crimea Black
Carolina Brazil
Anchieta Island Brazil
Rio de Janeiro Brazil
Manaus Brazil Amazonaves
Vancouver British
Castrovillari Calabria
Whittier California
Avalon California
Coyhaique Chile
Shensi China?
Bogota Colombia
Malaga Colombia
Saravena Colombia
Villavicencio Colombia
Puerto Asis Colombia
Sogamosa Colombia
Cucuta Colombia
Dubrovnik Croatia
Combi Cyprus
Nicosia Cyprus
Massamba Democratic
Cuenca Ecuador
Hastings England
Annobon Island Equatorial
Tapa AFB Estonia
Pensacola Florida
Nuka Hiva French
Barnegat New
Belgrad Serbia
Kinshasa Democratic Republic of Congo
Townsville Australia
Trapani Italy
Hyannis Massachusetts
Leopoldville Democratic Republic of Congo
Mobile Alabama
Gozo Malta
Kasongo Democratic Republic of Congo
Folkestone England
Folkestone Kent
Kota Kinabalu Malaysia
Mackay Australia
Whyalla Australia
"Kyiv, Ukraine"
